Sex,Agemos,W5,W10,W25,W50,W75,W90,W95,H5,H10,H25,H50,H75,H90,H95
2,22.5,10.00887405,10.3651796,11.01027128,11.81013895,12.71276942,13.62910755,14.23204547,78.815952719,80.072158027,82.165249371,84.48233206,86.790767124,88.861271598,90.09723454
2,23.5,10.14449891,10.50553251,11.16037297,11.97453748,12.89636272,13.8356351,14.45561433,79.613814564,80.883851467,83.001873615,85.349236238,87.690562258,89.792818519,91.04872752
2,24.5,10.27482891,10.64075987,11.30566645,12.13455528,13.07613212,14.03902484,14.67658549,80.393909183,81.677517322,83.820066979,86.197316902,88.571209531,90.704991525,91.980743693
2,25.5,10.40066414,10.77166654,11.44696728,12.2910249,13.25293459,14.24016506,14.89587242,81.188042533,82.493184129,84.672088121,87.090263184,89.505624379,91.677179948,92.975737313
2,26.5,10.52273581,10.89898515,11.58501256,12.44469237,13.42753102,14.43983817,15.11427618,81.972229269,83.294589692,85.503602351,87.957141816,90.409819647,92.616582249,93.936926731
2,27.5,10.64171007,11.02338047,11.72046615,12.59622335,13.60059358,14.63872906,15.33249457,82.740844683,84.077173322,86.311506206,88.796018399,91.282580365,93.522265649,94.863389345
2,28.5,10.7581918,11.14545358,11.8539236,12.74620911,13.77271274,14.83743314,15.55113065,83.489507361,84.837412224,87.093458951,89.605511504,92.123131381,94.393714544,95.754640882
2,29.5,10.8727282,11.26574591,11.98591692,12.89517218,13.94440383,15.03646393,15.770701,84.214958897,85.572728065,87.847826997,90.38476689,92.931126242,95.230817895,96.610614631
2,30.5,10.98581228,11.38474303,12.11691911,13.04357164,14.11611337,15.23626013,15.99164336,84.914943892,86.281390269,88.573618817,91.133417221,93.706621197,96.033847318,97.431638057
2,31.5,11.09788625,11.50287842,12.24734843,13.19180827,14.28822496,15.43719248,16.21432393,85.588088861,86.962420776,89.2704229,91.851543603,94.450047819,96.803430099,98.218402076
2,32.5,11.2093447,11.62053697,12.37757256,13.34022934,14.46106492,15.63957012,16.43904429,86.233785723,87.615501579,89.938345899,92.539635196,95.162182566,97.540519136,98.971927774
2,33.5,11.32053756,11.73805834,12.50791269,13.48913357,14.634908,15.84364677,16.66604772,86.852084274,88.240886477,90.577949352,93.198544285,95.844111754,98.246360745,99.693533549
2,34.5,11.43177357,11.85574032,12.63864672,13.63877446,14.80998135,16.04962601,16.89552564,87.443587231,88.839319775,91.190198016,93.829453915,96.497205189,98.922463132,100.38479602
2,35.5,11.54332263,11.9738418,12.77001339,13.78936547,14.98647034,16.25766706,17.12762297,88.009365536,89.411958842,91.776393475,94.433822779,97.123072041,99.570562542,101.04752273
